Cell_viability,Lipid_name,smiles
98.5,1T-O9,CCCCCCCCCCNC(=N)CCCSCCC(=O)OCCCCCCCCC
99.5,2T-O9,CCCCCCCCCCCCNC(=N)CCCSCCC(=O)OCCCCCCCCC
96.5,3T-O9,CCCCCCCCCCCCCCNC(=N)CCCSCCC(=O)OCCCCCCCCC
95.0,4T-O9,CCCCCCCCCCCCCCCCNC(=N)CCCSCCC(=O)OCCCCCCCCC
96.5,5T-O9,CCCCCCCCCCCCCCCCCCNC(=N)CCCSCCC(=O)OCCCCCCCCC
107.0,6T-O9,CCCCCCCC/C=C\CCCCCCCCNC(=N)CCCSCCC(=O)OCCCCCCCCC
104.5,7T-O9,CCCCCCCCCCCCCCCC(=O)NNC(=N)CCCSCCC(=O)OCCCCCCCCC
98.5,8T-O9,CCCCCCCCCCCCCCCCCC(=O)NNC(=N)CCCSCCC(=O)OCCCCCCCCC
98.5,9T-O9,CCCCCCCCCOC(=O)CCSCCCC(=N)NCC(CCCCCC)CCCCCCCC
95.0,10T-O9,CCCCCCCCCOC(=O)CCSCCCC(=N)NCC(=O)OCCCCCCCC
107.5,11T-O9,CCCCCCCCCOC(=O)CCSCCCC(=N)Nc1ccc(CCCCCCCC)cc1
90.5,12T-O9,CCCCCCCCCCc1ccc(NC(=N)CCCSCCC(=O)OCCCCCCCCC)cc1
88.5,13T-O9,CCCCCCCCCCCCc1ccc(NC(=N)CCCSCCC(=O)OCCCCCCCCC)cc1
102.0,14T-O9,CCCCCCCCCOC(=O)CCSCCCC(=N)Nc1ccc(OCCCCCCCCC)cc1
95.5,15T-O9,CCCCCCCCCOC(=O)CCSCCCC(=N)NCCNC(=N)CCCSCCC(=O)OCCCCCCCCC
94.5,16T-O9,CCCCCCCCCOC(=O)CCSCCCC(=N)NCCCNC(=N)CCCSCCC(=O)OCCCCCCCCC
103.5,17T-O9,CCCCCCCCCOC(=O)CCSCCCC(=N)NCCCCCNC(=N)CCCSCCC(=O)OCCCCCCCCC
97.0,18T-O9,CCCCCCCCCOC(=O)CCSCCCC(=N)NCCNCCNC(=N)CCCSCCC(=O)OCCCCCCCCC
101.5,19T-O9,CCCCCCCCCOC(=O)CCSCCCC(=N)NCCN(C)CCNC(=N)CCCSCCC(=O)OCCCCCCCCC
105.5,20T-O9,CCCCCCCCCOC(=O)CCSCCCC(=N)NCCN(CCNC(=N)CCCSCCC(=O)OCCCCCCCCC)CCNC(=N)CCCSCCC(=O)OCCCCCCCCC
95.0,21T-O9,CCCCCCCCCOC(=O)CCSCCCC(=N)NCCCN(C)CCCNC(=N)CCCSCCC(=O)OCCCCCCCCC
94.0,22T-O9,CCCCCCCCCOC(=O)CCSCCCC(=N)NCCCN(CCCNC(=N)CCCSCCC(=O)OCCCCCCCCC)CCCNC(=N)CCCSCCC(=O)OCCCCCCCCC
