part,smiles
a6,NC(CCCCN(CCCCCC)CCCCCC)C(=O)
a8,NC(CCCCN(CCCCCCCC)CCCCCCCC)C(=O)
a10,NC(CCCCN(CCCCCCCCCC)CCCCCCCCCC)C(=O)
a12,NC(CCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)C(=O)
a14,NC(CCCCN(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)C(=O)
a16,NC(CCCCN(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)C(=O)
a18,NC(CCCCN(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C(=O)
a12orn,NC(CCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)C(=O)
a12dab,NC(CCN(CCCCCCCCCCCC)CCCCCCCCCCCC)C(=O)
a12dap,NC(CN(CCCCCCCCCCCC)CCCCCCCCCCCC)C(=O)
e10,NC(CCCCN(CC(O)CCCCCCCC)CC(O)CCCCCCCC)C(=O)
e12,NC(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)C(=O)
e14,NC(CCCCN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC)C(=O)
aam12,NC(CCCCN(CCNC(=O)CCCCCCCCCCC)CCNC(=O)CCCCCCCCCCC)C(=O)
aat12,NC(CCCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)C(=O)
