quantified_toxicity,Lipid_name
1.105263158,HG-EP6
1.126038781,HG-EP8
1.153739612,HG-EP10
1.1966759,HG-EP10-1
1.113573407,HG-EP12
1.037396122,HG-EP14
1.12465374,GT-EP6
1.135734072,GT-EP8
1.076177285,GT-EP10
1.067867036,GT-EP10-1
0.7742382271,GT-EP12
0.9224376731,GT-EP14
1.137119114,AM-EP6
1.137119114,AM-EP8
1.119113573,AM-EP10
1.145429363,AM-EP10-1
0.6952908587,AM-EP12
0.8130193906,AM-EP14
1.034626039,GN-EP6
1.065096953,GN-EP8
1.049861496,GN-EP10
0.9930747922,GN-EP10-1
0.9986149584,GN-EP12
0.8448753463,GN-EP14
1.130193906,HG-Ac6
1.14265928,HG-Ac8
1.090027701,HG-Ac8-1
1.16966759,HG-Ac10
1.138504155,HG-Ac12
1.099722992,GT-Ac6
1.180055402,GT-Ac8
1.119113573,GT-Ac8-1
1.114958449,GT-Ac10
1.099030471,GT-Ac12
0.9563711911,AM-Ac6
1.06232687,AM-Ac8
1.076177285,AM-Ac8-1
0.8975069252,AM-Ac10
1.156509695,AM-Ac12
1.153739612,GN-Ac6
1.112188366,GN-Ac8
1.152354571,GN-Ac8-1
1.087257618,GN-Ac10
1.138504155,GN-Ac12
