part,smiles
AM,*N(*)CCC(O)C(=O)NC1CC(N(*)*)C(OC2OC(CN(*)*)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N(*)*)C1O
GN,*N(*)C1CC(N(*)*)C(OC2OC(C(C)O)C(O)C(O)C2N(*)*)C(O)C1OC1OCC(C)(O)C(N(*)C)C1O
PR,*N(*)CC1OC(OC2C(CO)OC(OC3C(O)C(N(*)*)CC(N(*)*)C3OC3OC(CO)C(O)C(O)C3N(*)*)C2O)C(N(*)*)C(O)C1O
HG,*N(*)C1CC(N(*)C)C(O)C(OC2OC(CO)C(O)C3OC4(OC23)OC(C(CO)N(*)*)C(O)C(O)C4O)C1O
KN,*N(*)CC1OC(OC2C(O)C(OC3OC(CO)C(O)C(N(*)*)C3O)C(N(*)*)CC2N(*)*)C(N(*)*)C(O)C1O
AP,*N(*)C1CC2OC(OC3CC(O)C(N(*)*)C(CO)O3)C(N(*)C)C(O)C2OC1OC1C(O)C(O)C(N(*)*)CC1N(*)*
RB,*N(*)CC1OC(OC2C(OC3OC(CO)C(O)C3O)C(O)C(N(*)*)CC2N(*)*)C(N(*)*)C(O)C1O
GT,*N(*)C1CCC(C(C)N(*)C)OC1OC1C(O)C(OC2OCC(C)(O)C(N(*)C)C2O)C(N(*)*)CC1N(*)*
ST,*N(*)C1CC(N(*)*)C(O)C(O)C1O
C10,*C(O)CCCCCCCCCC
C11,*C(O)CCCCCCCCCCC
C12,*C(O)CCCCCCCCCCCC
C13,*C(O)CCCCCCCCCCCCC
C14,*C(O)CCCCCCCCCCCCCC
C16,*C(O)CCCCCCCCCCCCCCCC
